OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,SalesAmount,ModifiedDate
O000001,2026-01-03,C0001,P001,1,0,95000,2026-01-03
O000002,2026-01-08,C0002,P004,2,0.05,6650,2026-01-08
O000003,2026-01-14,C0003,P007,1,0.1,11250,2026-01-14
O000004,2026-01-22,C0004,P003,2,0,48000,2026-01-22
O000005,2026-02-02,C0005,P002,1,0.15,61200,2026-02-02
O000006,2026-02-11,C0006,P005,3,0,5400,2026-02-11
O000007,2026-02-19,C0007,P006,2,0.05,16150,2026-02-19
O000008,2026-03-01,C0008,P008,2,0,9000,2026-03-01
O000009,2026-03-12,C0001,P002,1,0,72000,2026-03-12
O000010,2026-03-20,C0002,P001,2,0.1,171000,2026-03-20
O000011,2026-04-04,C0003,P004,4,0,14000,2026-04-04
O000012,2026-04-17,C0004,P007,1,0.05,11875,2026-04-17
O000013,2026-05-02,C0005,P003,3,0.1,64800,2026-05-02
O000014,2026-05-15,C0006,P005,5,0.05,8550,2026-05-15
O000015,2026-06-01,C0007,P006,1,0,8500,2026-06-01
O000016,2026-06-19,C0008,P008,3,0.15,11475,2026-06-19
O000017,2026-07-03,C0001,P001,1,0.05,90250,2026-07-03
O000018,2026-07-18,C0002,P003,1,0,24000,2026-07-18
O000019,2026-08-02,C0003,P004,2,0.1,6300,2026-08-02
O000020,2026-08-20,C0004,P002,2,0,144000,2026-08-20
